turn,agent_helped,partner_helped_last,ownBPfill,ownEnergy,distance_to_partner_veg,partner_needs_help
16,0,0,100.0,0.0,9.899645,0
17,0,0,100.0,0.0,9.899645,0
0,0,0,0.0,1.0,9.6633415,1
1,0,1,0.0,0.95,8.271467,1
2,0,0,0.0,0.9,10.62054,1
3,0,1,0.0,0.85,9.0711355,1
4,0,0,0.0,0.8,10.750327,1
5,0,1,0.0,0.75,9.615384,1
6,0,0,0.0,0.7,9.805807,1
7,0,1,0.0,0.65,14.677247,1
8,0,0,0.0,0.6,11.697621,1
9,0,1,0.0,0.6,11.697621,1
0,0,0,0.0,1.0,9.6633415,1
1,0,0,0.0,0.95,8.271467,1
2,0,1,0.0,0.9,10.62054,1
3,0,0,0.0,0.85,9.0711355,1
4,0,1,0.0,0.8,10.750327,1
5,0,0,0.0,0.75,9.615384,1
6,0,1,0.0,0.7,9.805807,1
7,0,0,0.0,0.65,14.677247,1
8,0,0,0.0,0.6,8.864946,1
9,0,1,0.0,0.6,8.864946,1
0,0,0,0.0,1.0,9.6633415,1
1,0,1,0.0,0.95,8.271467,1
2,0,0,0.0,0.9,10.62054,1
3,0,1,0.0,0.85,9.0711355,1
4,0,0,0.0,0.8,10.750327,1
5,0,1,0.0,0.75,9.615384,1
6,0,0,0.0,0.7,9.805807,1
7,0,1,0.0,0.65,14.677247,1
8,0,0,0.0,0.6,8.864946,1
9,0,0,0.0,0.6,8.864946,1
0,0,0,0.0,1.0,9.6633415,1
1,0,0,0.0,0.95,8.271467,1
2,0,1,0.0,0.9,10.62054,1
3,0,0,0.0,0.85,9.0711355,1
4,0,1,0.0,0.8,10.750327,1
5,0,1,0.0,0.75,9.615384,1
6,0,0,0.0,0.7,9.805807,1
7,0,0,0.0,0.65,14.677247,1
8,0,0,0.0,0.6,8.864946,1
9,0,1,0.0,0.6,8.864946,1
0,0,0,0.0,1.0,1.3598212,1
1,0,0,0.0,0.95,9.6633415,1
2,0,1,0.0,0.9,8.271467,1
3,0,0,0.0,0.85,9.805807,1
4,0,1,0.0,0.8,8.864946,1
5,0,0,0.0,0.75,10.750327,1
6,0,1,0.0,0.7,9.615384,1
7,0,0,0.0,0.65,14.677247,1
8,0,0,0.0,0.6,9.0711355,1
9,0,0,0.0,0.55,10.221294,1
0,1,0,0.0,1.0,1.3598212,1
1,0,0,33.333336,0.7,7.3228583,1
2,1,0,0.0,0.46,8.864946,1
3,1,1,33.333336,0.22,12.936178,1
4,0,0,66.66667,0.12,4.8076925,1
5,0,1,66.66667,0.07,9.470056,1
6,0,0,66.66667,0.02,7.7521706,1
7,0,1,66.66667,0.0,10.038755,1
8,0,0,66.66667,0.0,8.653847,1
9,0,1,66.66667,0.0,4.9029036,1
10,0,1,66.66667,0.0,6.4501963,1
11,0,0,66.66667,0.0,4.8076925,1
12,0,1,66.66667,0.0,10.038755,1
13,0,0,66.66667,0.0,3.9645247,1
14,0,1,66.66667,0.0,5.178043,1
15,0,0,66.66667,0.0,10.038755,1
16,0,0,66.66667,0.0,0.96153843,1
17,0,0,66.66667,0.0,0.0,1
0,1,0,0.0,1.0,10.576923,1
1,1,1,33.333336,0.72,4.9029036,1
2,1,1,66.66667,0.5,5.178044,0
3,0,1,100.0,0.3,3.846154,0
4,0,1,100.0,0.25,10.878568,0
5,0,1,100.0,0.2,0.0,0
6,0,0,100.0,0.15,8.215389,0
7,0,0,100.0,0.1,8.707102,0
8,0,0,100.0,0.05,7.322859,0
9,0,0,100.0,0.0,4.9029036,0
10,0,1,100.0,0.0,8.707102,0
11,0,0,100.0,0.0,0.96153843,0
12,0,0,100.0,0.0,8.271467,0
13,0,0,100.0,0.0,1.3598206,0
14,0,0,100.0,0.0,8.600263,0
15,0,0,100.0,0.0,8.707102,0
16,0,0,100.0,0.0,4.300131,0
17,0,1,100.0,0.0,4.300131,0
0,0,0,0.0,1.0,1.3598212,1
1,0,0,0.0,0.95,9.6633415,1
2,0,0,0.0,0.9,8.271467,1
3,0,1,0.0,0.85,9.805807,1
4,0,0,0.0,0.8,8.864946,1
5,0,1,0.0,0.75,10.750327,1
6,0,0,0.0,0.7,9.0711355,1
7,0,1,0.0,0.65,14.677247,1
8,0,0,0.0,0.6,9.615384,1
9,0,1,0.0,0.55,10.221294,1
0,1,0,0.0,1.0,1.3598212,1
1,0,0,20.0,0.87,3.9645247,1
2,1,1,0.0,0.73,8.158924,1
3,1,0,20.0,0.6,9.470056,1
4,0,1,40.0,0.51,4.9029036,1
5,0,0,40.0,0.46,9.071136,1
6,0,1,40.0,0.41,1.3598212,1
7,0,0,40.0,0.36,4.3001313,1
8,0,1,40.0,0.31,3.0406513,1
9,0,0,40.0,0.26,0.0,1
10,0,1,40.0,0.21,8.600263,1
11,0,0,40.0,0.16,3.0406513,1
12,0,0,40.0,0.11,4.0794625,1
13,0,0,40.0,0.06,6.156851,1
14,0,1,40.0,0.01,7.692309,1
15,0,0,40.0,0.0,3.8461545,1
16,0,1,40.0,0.0,3.0406513,1
17,0,0,40.0,0.0,3.0406513,1
18,0,0,40.0,0.0,4.807692,1
19,0,0,40.0,0.0,4.807692,1
0,0,0,0.0,1.0,8.271467,1
1,0,0,0.0,0.95,9.6633415,1
2,0,1,0.0,0.9,8.864946,1
3,0,0,0.0,0.85,9.805807,1
4,0,1,0.0,0.8,9.0711355,1
5,0,0,0.0,0.75,10.750327,1
